Sample_name_simple,Origin,Form,geology,Sample_name,Sample_number,Sound_number,mass_ini,mass_0,mass_n,mass_end,f1_ini,a1_ini,f1_0,a1_0,f1_n,a1_n,f1_end,a1_end,sound_path_ini,rms_ini,centroid_ini,flatness_ini,rolloff_ini,contrast1_ini,contrast2_ini,RDEM,Q,Q0,dQ,D,D class
LG_pl_a_2,LG,pl,a,S30,30,2,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071,./audio/raw_data_ampl_norm/LG_pl_a_2_ini_ampl_norm.wav,0.1638744,4446.143067,0.009320224,8077.280265,32.53403092,24.30502032,0.992665746,127.8932654,140.4494382,0.91060005,0.01,Resistant
LG_pl_a_3,LG,pl,a,S30,30,3,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071,./audio/raw_data_ampl_norm/LG_pl_a_3_ini_ampl_norm.wav,0.1493026,4505.962811,0.19055331,8646.102819,36.52482544,19.94277603,0.992665746,127.8932654,140.4494382,0.91060005,0.01,Resistant
LG_pl_a_4,LG,pl,a,S30,30,4,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071,./audio/raw_data_ampl_norm/LG_pl_a_4_ini_ampl_norm.wav,0.18418483,4405.095488,0.006619799,7890.381426,39.61146041,24.95654149,0.992665746,127.8932654,140.4494382,0.91060005,0.01,Resistant
LG_pl_a_5,LG,pl,a,S30,30,5,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071,./audio/raw_data_ampl_norm/LG_pl_a_5_ini_ampl_norm.wav,0.17864616,4472.983567,0.006405396,7983.830846,34.03000818,24.68925813,0.992665746,127.8932654,140.4494382,0.91060005,0.01,Resistant
LG_pl_a_6,LG,pl,a,S30,30,6,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071,./audio/raw_data_ampl_norm/LG_pl_a_6_ini_ampl_norm.wav,0.14212967,4574.250597,0.022468282,8199.170813,37.67718319,23.03138557,0.992665746,127.8932654,140.4494382,0.91060005,0.01,Resistant
LG_pl_a_7,LG,pl,a,S30,30,7,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071,./audio/raw_data_ampl_norm/LG_pl_a_7_ini_ampl_norm.wav,0.13524455,4091.750565,0.002659835,7171.227197,38.80126002,28.65945369,0.992665746,127.8932654,140.4494382,0.91060005,0.01,Resistant
LG_pl_a_8,LG,pl,a,S30,30,8,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071,./audio/raw_data_ampl_norm/LG_pl_a_8_ini_ampl_norm.wav,0.18448105,4425.02881,0.022226265,8276.368159,37.25885572,22.57040853,0.992665746,127.8932654,140.4494382,0.91060005,0.01,Resistant
LG_pl_a_9,LG,pl,a,S30,30,9,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071,./audio/raw_data_ampl_norm/LG_pl_a_9_ini_ampl_norm.wav,0.16488962,4242.438062,0.005575128,7638.474295,36.69649933,26.33543652,0.992665746,127.8932654,140.4494382,0.91060005,0.01,Resistant
M_pl_a1_1,M,pl,a1,S11,11,1,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448,./audio/raw_data_ampl_norm/M_pl_a1_1_ini_ampl_norm.wav,0.105715446,3816.86796,0.00976217,6748.6733,37.98367928,28.4444671,0.877803171,60.7444844,98.14775556,0.618908543,0.12,Uncertain
M_pl_a1_2,M,pl,a1,S11,11,2,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448,./audio/raw_data_ampl_norm/M_pl_a1_2_ini_ampl_norm.wav,0.11238423,3836.042109,0.008474052,7471.890547,33.73442593,25.04865117,0.877803171,60.7444844,98.14775556,0.618908543,0.12,Uncertain
M_pl_a1_3,M,pl,a1,S11,11,3,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448,./audio/raw_data_ampl_norm/M_pl_a1_3_ini_ampl_norm.wav,0.0964487,3694.695623,0.008012734,6622.719735,34.6028824,27.45681056,0.877803171,60.7444844,98.14775556,0.618908543,0.12,Uncertain
M_pl_a1_4,M,pl,a1,S11,11,4,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448,./audio/raw_data_ampl_norm/M_pl_a1_4_ini_ampl_norm.wav,0.09704881,3885.402141,0.004903537,6533.333333,34.16995085,27.39052064,0.877803171,60.7444844,98.14775556,0.618908543,0.12,Uncertain
M_pl_a1_5,M,pl,a1,S11,11,5,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448,./audio/raw_data_ampl_norm/M_pl_a1_5_ini_ampl_norm.wav,0.1198202,3948.942473,0.017828306,8081.343284,41.83037842,23.34500206,0.877803171,60.7444844,98.14775556,0.618908543,0.12,Uncertain
M_pl_a1_6,M,pl,a1,S11,11,6,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448,./audio/raw_data_ampl_norm/M_pl_a1_6_ini_ampl_norm.wav,0.116438225,3676.184598,0.005556834,6964.013267,36.21946022,26.72644322,0.877803171,60.7444844,98.14775556,0.618908543,0.12,Uncertain
M_pl_a1_7,M,pl,a1,S11,11,7,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448,./audio/raw_data_ampl_norm/M_pl_a1_7_ini_ampl_norm.wav,0.10540711,3621.21635,0.004856091,6066.086235,36.21955693,28.89475869,0.877803171,60.7444844,98.14775556,0.618908543,0.12,Uncertain
